COG	GC127836	GC127826	GC127844	GC127827	GC127837	GC127845	GC127855	GC127871	GC127868	GC127847	GC127835	GC127825	GC127846	GC127856	GC127834	GC125610	GC127828	GC127838	GC127853	GC127843	GC127831	GC127852	GC127830	GC125618	GC127839	GC127829	GC125611	GC127864	GC127874	GC127832	GC127840	GC127849	GC127866	GC127848	GC125612	GC127867	GC127833	GC127841
COG5646	1730.0	811.0	2947.0	1239.0	940.0	773.0	122.0	17.0	15.0	63.0	1254.0	361.0	392.0	2.0	2087.0	424.0	631.0	1814.0	70.0	1507.0	828.0	0.0	2315.0	88.0	1921.0	999.0	1589.0	9632.0	74.0	2770.0	694.0	155.0	145.0	142.0	1111.0	26.0	1431.0	644.0
COG0738	52051.0	57761.0	39405.0	35210.0	26519.0	22393.0	4448.0	158.0	138.0	1790.0	39063.0	9589.0	3314.0	133.0	50958.0	15474.0	19204.0	53308.0	877.0	56146.0	54618.0	300.0	38696.0	3125.0	44474.0	38220.0	35220.0	550.0	619.0	44511.0	23715.0	2406.0	1036.0	2588.0	55704.0	1398.0	46590.0	25331.0
COG0631	18856.0	19841.0	15011.0	10725.0	9725.0	6004.0	3468.0	156.0	6042.0	2779.0	16473.0	3299.0	5393.0	6564.0	12051.0	4852.0	6534.0	24788.0	7036.0	17234.0	10761.0	5038.0	14638.0	800.0	17803.0	9928.0	7867.0	26304.0	195.0	13808.0	8576.0	3171.0	5137.0	3999.0	17198.0	2469.0	12616.0	11378.0
COG0515	51324.0	26052.0	71451.0	31968.0	30862.0	21541.0	46723.0	6064.0	88940.0	48843.0	46055.0	14185.0	67057.0	74571.0	29751.0	19238.0	17619.0	87585.0	87838.0	42358.0	67711.0	67229.0	62072.0	17181.0	64764.0	31075.0	26406.0	269056.0	11447.0	48626.0	29137.0	43181.0	48541.0	53900.0	64744.0	38589.0	52454.0	34776.0
COG3419	21001.0	11579.0	11034.0	13647.0	10777.0	10867.0	8492.0	0.0	206.0	7899.0	14898.0	1799.0	11215.0	111.0	7734.0	2887.0	11508.0	32942.0	18112.0	8349.0	13876.0	346.0	16181.0	0.0	13491.0	12753.0	14767.0	0.0	0.0	9171.0	7830.0	6033.0	3539.0	11282.0	9734.0	4305.0	15246.0	11991.0
COG0312	73406.0	80093.0	49736.0	50176.0	40330.0	26945.0	19615.0	400.0	915.0	5826.0	65264.0	12925.0	12260.0	290.0	51836.0	20666.0	26202.0	96989.0	7187.0	76713.0	105119.0	1251.0	48010.0	102.0	60671.0	42576.0	37284.0	124.0	946.0	41752.0	39400.0	12459.0	5055.0	11488.0	80416.0	8410.0	61611.0	40219.0
COG1668	4225.0	2417.0	8106.0	2976.0	1620.0	2204.0	711.0	121.0	27.0	508.0	2154.0	170.0	2089.0	52.0	5995.0	1273.0	1419.0	4389.0	628.0	2761.0	1842.0	79.0	5634.0	587.0	4636.0	2680.0	5148.0	16461.0	371.0	4954.0	1464.0	690.0	1322.0	1220.0	2683.0	524.0	4636.0	1368.0
COG1192	48279.0	54569.0	39381.0	32850.0	24008.0	20205.0	12041.0	463.0	919.0	3960.0	38376.0	9671.0	8221.0	537.0	48495.0	12570.0	19036.0	57615.0	6945.0	54487.0	102796.0	1181.0	32036.0	795.0	38527.0	30218.0	27637.0	71922.0	1017.0	44883.0	22644.0	5761.0	4439.0	6702.0	52249.0	4868.0	42482.0	23667.0
COG3421	2594.0	2462.0	2563.0	1955.0	1293.0	1788.0	778.0	0.0	0.0	74.0	1561.0	181.0	255.0	137.0	2321.0	332.0	1247.0	3281.0	0.0	1530.0	2893.0	10.0	2901.0	0.0	2741.0	1629.0	3176.0	0.0	17.0	2153.0	1090.0	62.0	6.0	44.0	3231.0	135.0	2711.0	1033.0
COG1256	10218.0	5991.0	12157.0	6818.0	5355.0	5343.0	14472.0	42.0	58.0	4448.0	8562.0	311.0	6552.0	97.0	10508.0	1821.0	3606.0	21744.0	3370.0	7850.0	5652.0	395.0	9228.0	530.0	9672.0	4668.0	9809.0	60.0	262.0	7501.0	4271.0	9670.0	2857.0	8403.0	9983.0	5304.0	13389.0	4714.0
