Sample,Type,Location,Category
GC125610,Daphnia,LRF,Low
GC125611,Daphnia,LRF,Low
GC125612,Daphnia,LRF,Low
GC125618,Daphnia,Citadell,High
GC125630,Bacterioplankton,Rotselaar,Low
GC125633,Bacterioplankton,Blauwe poort,High
GC125636,Bacterioplankton,WWTP Leuven,High
GC125640,Bacterioplankton,De Gavers,Low
GC125643,Bacterioplankton,Evangelie,Low
GC125646,Bacterioplankton,MVR,Low
GC125648,Bacterioplankton,Blauwe poort,High
GC125649,Bacterioplankton,Kulak,Low
GC125652,Bacterioplankton,WWTP Leuven,High
GC125653,Bacterioplankton,De Gavers,Low
GC125654,Bacterioplankton,Citadell,High
GC125655,Bacterioplankton,Kluizen,High
GC125656,Bacterioplankton,Kluizen,High
GC125657,Bacterioplankton,Blauwe poort,High
GC125659,Bacterioplankton,MVR,Low
GC125661,Bacterioplankton,Rotselaar,Low
GC125662,Bacterioplankton,St. Donatus,High
GC125663,Bacterioplankton,St. Donatus,High
GC125664,Bacterioplankton,Donk,Low
GC125665,Bacterioplankton,WWTP Leuven,High
GC125668,Bacterioplankton,Blauwe poort,High
GC127825,Daphnia,LRF,Low
GC127826,Daphnia,LRF,Low
GC127827,Daphnia,LRF,Low
GC127828,Daphnia,LRF,Low
GC127829,Daphnia,LRF,Low
GC127830,Daphnia,LRF,Low
GC127831,Daphnia,LRF,Low
GC127832,Daphnia,LRF,Low
GC127833,Daphnia,LRF,Low
GC127834,Daphnia,LRF,Low
GC127835,Daphnia,LRF,Low
GC127836,Daphnia,LRF,Low
GC127837,Daphnia,LRF,Low
GC127838,Daphnia,LRF,Low
GC127839,Daphnia,LRF,Low
GC127840,Daphnia,LRF,Low
GC127841,Daphnia,LRF,Low
GC127843,Daphnia,LRF,Low
GC127844,Daphnia,LRF,Low
GC127845,Daphnia,LRF,Low
GC127846,Daphnia,Blauwe poort,High
GC127847,Daphnia,Blauwe poort,High
GC127848,Daphnia,Blauwe poort,High
GC127849,Daphnia,Blauwe poort,High
GC127852,Daphnia,Bourgoyen,Low
GC127853,Daphnia,Rotselaar,Low
GC127855,Daphnia,St. Donatus,High
GC127856,Daphnia,Bourgoyen,Low
GC127864,Daphnia,Citadell,High
GC127866,Daphnia,Bourgoyen,Low
GC127867,Daphnia,St. Donatus,High
GC127868,Daphnia,Evangelie,Low
GC127871,Daphnia,Kluizen,High
GC127873,Daphnia,St. Donatus,High
GC127874,Daphnia,Kluizen,High
GC127875,Daphnia,St. Donatus,High
GC127878,Bacterioplankton,Donk,Low
GC127881,Bacterioplankton,St. Donatus,High
GC127884,Bacterioplankton,Rotselaar,Low
GC127890,Bacterioplankton,WWTP Harelbeke,High
GC127893,Bacterioplankton,De Gavers,Low
GC127894,Bacterioplankton,De Gavers,Low
GC127896,Bacterioplankton,Rotselaar,Low
GC127899,Bacterioplankton,Bourgoyen,Low
GC127900,Bacterioplankton,St. Donatus,High
GC127906,Bacterioplankton,LRF,Low
GC127907,Bacterioplankton,Citadell,High
GC127909,Bacterioplankton,Kluizen,High
GC127912,Bacterioplankton,Kluizen,High
GC127914,Bacterioplankton,LRF,Low
GC127915,Bacterioplankton,Evangelie,Low
GC127917,Bacterioplankton,Kulak,Low
GC127919,Bacterioplankton,WWTP Olsene,High
GC127920,Bacterioplankton,Bourgoyen,Low
